"","Theta","DeltaD","DeltaS","Lambda","Rho","LogLik"
"Mean",0.0160250509367452,0.00308288167486685,7.52477594629974e-06,0.215443039754419,0.568993677715561,-33794.1464093101
"Std.",3.55387105618359e-05,4.41711818936968e-05,7.57702409712677e-06,0.0129416886342604,0.00154664680305572,1.71657060341849
"Acceptance ratio",0.15894,0.12648,0.16854,0.29514,0.271,0.68284
"0%",0.0158870857875953,0.00293829542479409,1.98174665223295e-09,0.169180526671532,0.562572495734935,-33807.8597996442
"2.5%",0.015953323550434,0.00299822679114135,2.23006106851445e-07,0.190560122660258,0.565972495666671,-33798.3638293466
"5%",0.0159660297351365,0.00301300164670865,4.19717948188955e-07,0.194415866363995,0.566423130428625,-33797.437805803
"7.5%",0.0159729922227852,0.00301965169020932,6.33840669454491e-07,0.197118506826676,0.566756828039254,-33796.8836509945
"10%",0.015978827730685,0.00302642988821492,8.38606515346197e-07,0.198984022765458,0.567015273682649,-33796.4475899857
"12.5%",0.0159838834375009,0.00303225562385214,1.00726729111642e-06,0.200395621734185,0.56722805310049,-33796.108770747
"15%",0.0159876434045863,0.00303688093085366,1.25482877010269e-06,0.201830464799202,0.567402109203682,-33795.8321814987
"17.5%",0.0159915456571511,0.00304102100562659,1.47656198217055e-06,0.203121241923108,0.567552354987906,-33795.5989467963
"20%",0.0159954344355219,0.00304454123211034,1.71584604155431e-06,0.204402577477349,0.567702021197133,-33795.3981411594
"22.5%",0.0159986326967923,0.00304758215082881,1.94237320225861e-06,0.205573147692901,0.567827323853167,-33795.2128349041
"25%",0.0160016393807258,0.00305158724583906,2.12319533886254e-06,0.206526664229082,0.567958944648638,-33795.0377129636
"27.5%",0.0160043978825813,0.00305522732668988,2.43960115820596e-06,0.207559814534128,0.568065386514828,-33794.8844212717
"30%",0.0160067924976904,0.00305855051833969,2.71716681577685e-06,0.208547924868676,0.568173027419125,-33794.7382723282
"32.5%",0.0160093149429839,0.00306184843823685,2.96985057225338e-06,0.209488964802259,0.568288514731594,-33794.6054636788
"35%",0.0160113213993723,0.00306500453579395,3.26789313135227e-06,0.210276079976707,0.568390776451622,-33794.4847971924
"37.5%",0.0160138869602347,0.00306733505545433,3.53744233509059e-06,0.211054515743476,0.56849278081171,-33794.3661045414
"40%",0.0160164371785431,0.00307010904402522,3.84187605698832e-06,0.211931726295486,0.568600508384121,-33794.2472888382
"42.5%",0.0160184979307703,0.00307350364301516,4.12238057753389e-06,0.212725641729873,0.568696653383475,-33794.1370634207
"45%",0.0160212294762074,0.00307684495266172,4.40720348362249e-06,0.213488012719976,0.568772842068473,-33794.0262065001
"47.5%",0.0160235447751804,0.00307919357698176,4.74916109975732e-06,0.214273918678542,0.568864798212101,-33793.9233703478
"50%",0.0160258441606325,0.00308222485915995,5.08558623307367e-06,0.215219147066917,0.568968209784139,-33793.8234265153
"52.5%",0.0160281235430216,0.00308510905510914,5.48345322303718e-06,0.216080314195262,0.569075981207154,-33793.7244202319
"55%",0.0160307250569024,0.00308805843704956,5.87500697730419e-06,0.216912828788195,0.5691786714061,-33793.6212901549
"57.5%",0.0160330061938983,0.00309103232690856,6.32219289540226e-06,0.21773466560752,0.569274823151548,-33793.5271158096
"60%",0.016035195423905,0.00309412646890382,6.67065610978121e-06,0.21860470982837,0.569378763651038,-33793.4394856504
"62.5%",0.0160371835020298,0.00309710778670244,7.26680446851216e-06,0.219494147778105,0.56947712286278,-33793.3439828917
"65%",0.0160394556182257,0.00310080904095859,7.86241256432751e-06,0.220397066991443,0.569583249978675,-33793.2490625626
"67.5%",0.0160417850141309,0.00310375149884453,8.41728570379427e-06,0.22128849386808,0.569688225689674,-33793.1560071049
"70%",0.0160437590803769,0.00310738007080638,9.11191549538613e-06,0.222307624947891,0.569784881511721,-33793.0656762398
"72.5%",0.01604604562763,0.00311021507912013,9.74048984805045e-06,0.223266515383699,0.569908778452192,-33792.9742208862
"75%",0.0160489132599213,0.00311371566610838,1.04774845724202e-05,0.224294695384398,0.570020812898058,-33792.8841680209
"77.5%",0.0160517794629409,0.00311620058514727,1.12932563802755e-05,0.225343742749436,0.570157565553695,-33792.7982320717
"80%",0.0160546895161002,0.00312000438198502,1.22152891787948e-05,0.22649215371173,0.570300446570486,-33792.7023785358
"82.5%",0.0160583795224828,0.00312387646280052,1.3086407634485e-05,0.227601540009234,0.570451522419222,-33792.6086819233
"85%",0.0160623965580379,0.0031290371762054,1.42894236538171e-05,0.228941747348582,0.57061830769824,-33792.5088392846
"87.5%",0.0160662184550839,0.00313433352772574,1.56211457962609e-05,0.230397125038912,0.570793910917909,-33792.3984385008
"90%",0.0160700183171644,0.00314004371098907,1.73158430979337e-05,0.232144024265946,0.571003547762959,-33792.2781922188
"92.5%",0.0160759845516791,0.00314606750644309,1.94823756717979e-05,0.234147464518316,0.571247564841876,-33792.1449970166
"95%",0.0160821924374841,0.00315563405127985,2.26077816619097e-05,0.236939109994405,0.571551782116284,-33791.9939394032
"97.5%",0.0160918915295668,0.00317170370489677,2.78026787869932e-05,0.240827788538945,0.572026240134692,-33791.8005804691
"100%",0.0161581773067805,0.00324860321891847,8.43916550720681e-05,0.267190539695403,0.575179484703406,-33791.2389881774
