"","Position","C.T","G.A"
"1",1,0.183605034439709,0.216979055166299
"2",2,0.204744306257381,0.239520444235383
"3",3,0.217528272617071,0.258880604284907
"4",4,0.227539848292117,0.273021109735683
"5",5,0.239648453011889,0.279714984450763
"6",6,0.253562903697604,0.280517502604866
"7",7,0.267291622497393,0.278045670456373
"8",8,0.274880652087699,0.278869382501226
"9",9,0.278411060943597,0.281784467347288
"10",10,0.278422972073922,0.286717346979602
"11",11,0.278261698208238,0.290685697538365
"12",12,0.278751884602837,0.293163281855663
"13",-12,0.286283650014196,0.285786817254309
"14",-11,0.284464383463129,0.284599139098479
"15",-10,0.28187266653127,0.283318753912006
"16",-9,0.27848702113855,0.28170930121379
"17",-8,0.275711499162509,0.278046878439779
"18",-7,0.274192953084323,0.271227035296853
"19",-6,0.273666756422728,0.260823544139143
"20",-5,0.269796471319325,0.250438005775907
"21",-4,0.260881923077524,0.24083456698243
"22",-3,0.246372756447955,0.231042390891326
"23",-2,0.227295448478867,0.217717617990529
"24",-1,0.203820659253677,0.197461339346287
