pos	3pG>A
1	0.0040112452438911
2	0.00500512028785667
3	0.00457721376635411
4	0.00444797360705164
5	0.00434540526694409
6	0.00514218302556345
7	0.00578275480070479
8	0.00477850278619981
9	0.00539857450373559
10	0.00549492665446636
11	0.00483291163238372
12	0.00487539452491314
13	0.00516288615605341
14	0.0052102056256383
15	0.00515196269877254
16	0.00535135470345962
17	0.00538640068936321
18	0.00516129424699698
19	0.00518604208637765
20	0.00513937650691595
21	0.00539904687217229
22	0.00528163961909365
23	0.00509164969450102
24	0.00517223857822594
25	0.00525254983685608
